iteration,timestamp,num_games,num_positions,selfplay_seconds,train_seconds,total_seconds,loss,policy_loss,value_loss,weights_file,buffer_positions,avg_move_seconds,resigned_games,resign_false_positives
1,2026-07-13T17:57:58,10,813,777.8,50.1,827.9,3.2278,2.9695,0.26,iter_1.weights.h5,,,,
2,2026-07-13T18:15:19,10,1084,1012.7,27.4,1040.1,2.8771,2.5017,0.3746,iter_2.weights.h5,,,,
3,2026-07-13T18:36:28,10,1046,1246.8,21.8,1268.6,2.7659,2.6332,0.1319,iter_3.weights.h5,,,,
4,2026-07-13T19:39:21,10,730,765.9,15.7,781.5,2.8498,2.6762,0.1731,iter_4.weights.h5,,,,
5,2026-07-13T19:57:31,10,1075,1066.9,22.4,1089.3,2.6876,2.678,0.0104,iter_5.weights.h5,,,,
6,2026-07-13T20:13:02,10,759,914.0,15.6,929.5,3.0041,2.8724,0.1302,iter_6.weights.h5,,,,
7,2026-07-13T20:32:10,10,1060,1125.6,21.9,1147.5,3.2374,2.8915,0.3435,iter_7.weights.h5,,,,
8,2026-07-13T20:51:10,10,1004,1114.3,24.9,1139.2,3.4453,3.0203,0.4176,iter_8.weights.h5,,,,
9,2026-07-13T21:12:17,10,1014,1245.2,21.0,1266.2,3.4966,2.9271,0.5683,iter_9.weights.h5,,,,
10,2026-07-13T21:45:36,10,1992,1948.3,49.5,1997.8,2.9734,2.6709,0.2994,iter_10.weights.h5,,,,
11,2026-07-13T22:15:57,10,1543,1788.3,32.6,1820.9,3.0758,2.7111,0.3536,iter_11.weights.h5,,,,
12,2026-07-13T22:37:27,10,1286,1262.7,26.5,1289.3,3.1967,2.8198,0.3654,iter_12.weights.h5,,,,
13,2026-07-13T23:04:29,10,1540,1588.4,32.5,1620.9,3.1193,2.7103,0.4055,iter_13.weights.h5,,,,
14,2026-07-13T23:35:51,10,1783,1829.3,50.8,1880.1,2.9159,2.7465,0.1693,iter_14.weights.h5,,,,
15,2026-07-14T00:07:27,10,1629,1845.6,48.3,1893.9,3.2897,2.8912,0.3978,iter_15.weights.h5,,,,
16,2026-07-14T00:26:42,10,1032,1120.3,33.3,1153.6,3.027,2.67,0.3476,iter_16.weights.h5,,,,
17,2026-07-14T00:51:13,10,1155,1438.7,31.7,1470.4,2.8449,2.6991,0.1604,iter_17.weights.h5,,,,
18,2026-07-14T01:06:10,10,521,867.6,25.8,893.4,3.9186,3.1376,0.7731,iter_18.weights.h5,,,,
19,2026-07-14T10:24:54,10,661,735.5,247.4,982.9,3.2158,2.8773,0.3385,iter_19.weights.h5,21727,4.266,0,0
20,2026-07-14T11:00:55,10,2022,1939.8,220.7,2160.5,2.9694,2.7843,0.1851,iter_20.weights.h5,23749,4.095,0,0
21,2026-07-14T11:31:45,10,1345,1642.5,205.5,1848.0,2.8898,2.7382,0.1516,iter_21.weights.h5,24281,3.952,0,0
22,2026-07-14T11:55:49,10,1098,1030.9,230.6,1261.5,2.91,2.7607,0.1493,iter_22.weights.h5,24295,4.174,0,0
23,2026-07-14T12:32:36,10,1541,1997.6,208.0,2205.5,2.8877,2.7497,0.138,iter_23.weights.h5,24790,4.233,0,0
24,2026-07-14T12:58:07,10,1224,1309.6,219.9,1529.5,2.8334,2.7221,0.1112,iter_24.weights.h5,25284,3.857,0,0
25,2026-07-14T18:36:19,10,1292,1498.5,228.1,1726.6,2.8551,2.7265,0.1287,iter_25.weights.h5,25501,4.242,0,0
26,2026-07-14T19:04:51,10,1558,1509.6,233.4,1743.0,2.8068,2.7079,0.0989,iter_26.weights.h5,26300,4.226,0,0
27,2026-07-14T19:31:02,10,1074,1345.9,255.3,1601.2,2.7982,2.6855,0.1126,iter_27.weights.h5,26314,4.407,0,0
28,2026-07-14T20:24:23,10,1755,2021.5,242.1,2263.6,2.8067,2.6751,0.1316,iter_28.weights.h5,27065,4.485,0,0
29,2026-07-14T20:52:41,10,1148,1522.7,213.3,1736.0,2.7688,2.6596,0.1092,iter_29.weights.h5,27199,4.273,0,0
30,2026-07-14T21:11:43,10,819,943.0,226.4,1169.3,2.8078,2.6872,0.1207,iter_30.weights.h5,26026,4.09,0,0
31,2026-07-14T22:08:30,10,1044,1529.4,228.1,1757.4,2.7932,2.6971,0.096,iter_31.weights.h5,25527,4.258,0,0
32,2026-07-14T22:40:39,10,1479,1731.1,247.6,1978.7,2.8276,2.7015,0.1261,iter_32.weights.h5,25720,4.37,0,0
33,2026-07-14T23:13:57,10,1461,1803.9,247.2,2051.2,2.8208,2.7063,0.1145,iter_33.weights.h5,25641,4.569,0,0
34,2026-07-14T23:47:08,10,1274,1820.0,228.2,2048.2,2.8337,2.7161,0.1176,iter_34.weights.h5,25132,4.186,0,0
35,2026-07-15T00:13:37,10,1033,1325.5,307.8,1633.3,2.8409,2.7227,0.1182,iter_35.weights.h5,24536,4.611,0,0
